fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
1067,15.12119064,12.01360737,11.28483345,12.2097803,12.71537916,12.84231042,12.14188519,12.79666903,10.63479802,9.598936924,9.927002126,9.175478384,8.553153792,8.142948264,8.741247342,7.678384125,7.825230333,7.94734231,8.013323884
1069,15.72,12.14251748,11.3579021,12.52825175,13.13776224,12.7934965,12.21167832,13.13881119,10.85776224,9.913286713,10.14475524,9.477622378,8.616993007,8.116923077,8.929020979,7.856153846,8.05006993,8.133986014,8.585524476
1071,14.90533981,13.05863384,12.47798197,12.14694868,12.21151179,13.36012483,12.85436893,12.49431345,10.71459778,9.269590846,10.33075589,10.51459778,9.393828017,8.323647712,8.830686546,7.067198336,7.934500693,7.478779473,7.524514563
1077,14.09045553,11.74636659,11.71399132,12.23031453,11.92472885,13.47006508,12.47114967,12.5882321,10.42630152,8.895227766,9.978904555,9.600813449,9.028199566,8.359056399,8.955531453,7.412201735,7.373427332,7.149457701,7.523047722
1079,14.83357182,12.80913594,12.6435333,12.83858008,12.23593836,13.41177766,13.04298294,13.0963126,10.97330765,9.182278481,10.3916896,10.02421574,9.245459549,8.597248211,8.745239406,7.738965327,7.640561365,7.435277931,7.531315355
1083,15.15819355,12.88690323,12.65006452,12.81690323,12.65451613,13.97619355,13.15135484,13.12703226,10.97903226,9.510193548,10.76690323,10.3863871,9.381935484,8.974903226,9.117741935,7.728,8.064709677,7.534064516,7.827806452
1089,15.58062016,13.5876938,12.99292636,12.8746124,12.54181202,13.92257752,13.4754845,13.09176357,11.34181202,9.737257752,10.89622093,10.67873062,9.68372093,9.012257752,9.298643411,7.685755814,8.339292636,8.056734496,8.154312016
1095,15.79589905,13.74397476,13.37955836,12.89274448,12.93369085,13.90302839,13.7370347,13.08195584,11.51501577,9.805615142,10.68820189,10.78883281,9.786246057,8.721955836,9.333438486,7.707381703,8.038927445,8.030599369,8.129274448
1097,12.72357166,10.86944172,9.807247796,11.63219066,11.14795952,12.98223963,11.64688214,11.77662422,9.627326151,9.23281097,9.950440744,9.263728371,9.117433888,7.980705191,8.353019915,7.707802808,7.31769507,7.38129285,7.507019262
1103,15.65243101,13.59553219,13.12798949,12.94973719,12.60348226,13.70637319,13.58166886,13.3109067,11.45,9.699540079,10.91925099,10.68298292,9.59586071,8.855256242,9.190998686,7.93370565,8.117805519,8.027529566,8.009658344
